	source_intensity	horizontal_distance	vertical_distance	felt_damage	insulation
100000	1424866604	679.3595907	615.2554226	0	0.255819092
100001	1.52E-05	470.3800375	905.754643	1	0.476283381
100002	302806.4504	318.3029573	601.2284118	1	0.195689448
100003	0.0004131	729.4699908	209.209222	1	0.869794339
100004	0.035665472	453.9971365	340.3266232	1	0.24058352
100005	38.01804574	627.6476511	366.6774011	1	0.385740283
100006	0.978713651	150.0564377	470.2908983	0	0.685412647
100007	0.085467704	566.4136056	636.6300705	0	0.881412858
100008	5.96543E+11	707.8837406	561.7646411	1	0.525097602
100009	4613844101	115.413122	663.0014327	0	0.247171137
100010	0.98501952	516.2831259	351.0424791	0	0.758129097
100011	84376021.28	155.1571509	487.7323618	1	0.600930134
100012	0.022462844	523.2236608	639.4185881	1	0.9811939
100013	1.00E-06	749.8045322	419.8053195	1	0.424197587
100014	4.565673116	237.3922947	7.84456492	1	0.254597417
100015	7.94E-06	409.9164222	511.4922168	0	0.929262608
100016	1494814.49	861.9238897	731.8520978	0	0.427750366
100017	5.43E-05	453.9762996	336.2611691	1	0.690791043
100018	0.014772066	421.765866	537.5855712	0	0.913852778
100019	3.01106E+13	542.5432484	548.4926374	1	0.545815827
100020	1.30619529	221.3398317	567.1244041	0	0.324275921
100021	3039.264948	310.57989	530.6101884	0	0.895492511
100022	2.91507E+11	740.8083444	552.7525388	1	0.701733833
100023	0.077429092	202.8289516	443.5339276	0	0.544334151
100024	1062154184	583.7543917	751.9130532	1	0.118621014
100025	0.00641734	338.267172	894.3106939	1	0.987242032
100026	11.11044724	882.592118	489.6465861	1	0.147241513
100027	38.57126707	572.6126698	880.8987171	0	0.829843522
100028	3.316362157	280.5564407	216.3259254	0	0.426091002
100029	69.58752541	641.0860065	913.0047064	0	0.466801752
100030	1083079.524	35.80475701	381.0815337	1	0.1084194
100031	16977746.1	38.64955504	542.4850077	0	0.148329859
100032	143023724.4	330.6034948	439.2320905	1	0.035954672
100033	129228.0315	736.1306253	600.2302849	1	0.37450049
100034	0.530957524	711.3873759	307.1852427	0	0.450166359
100035	0.002363239	588.8539317	619.1757377	0	0.184375465
100036	97571.97371	715.288889	907.1072337	0	0.35690064
100037	23.34643168	418.1382821	452.3472876	1	0.867985157
100038	18.34885111	491.1754899	603.3848078	1	0.297371465
100039	42608.09244	560.186228	594.8807734	1	0.15695022
100040	6.314428639	569.7065031	332.5953072	1	0.293519174
100041	0.012023822	698.7111035	570.0600235	0	0.559727645
100042	1.45E-05	653.7800372	471.1847009	0	0.231860703
100043	10.90931411	443.3475116	430.2645023	1	0.215198113
100044	4.49963E+12	773.5024175	817.9729671	1	0.2881738
100045	5.17E-06	805.6406684	479.2028936	1	0.019820038
100046	283109757.6	470.2859376	216.904609	1	0.577949663
100047	7783247.866	644.2359037	813.6139779	0	0.156596508
100048	0.114014028	428.1949652	580.3758626	1	0.95530589
100049	1381150.276	668.5325625	863.2686476	0	0.910547799
100050	17.75384495	429.2627652	475.6277112	1	0.263102626
100051	5.78081565	782.1768886	400.8359796	0	0.434464583
100052	3.25E+16	637.8689547	830.1185906	0	0.445001835
100053	299227250.2	505.3715633	754.2480517	1	0.93392806
100054	1.10E-06	436.1746517	357.4854369	0	0.269010985
100055	401381.829	326.3267609	309.1843308	0	0.738665128
100056	1.47E-06	56.50395075	588.1501164	1	0.33728929
100057	8.42E-06	827.6777554	532.4459513	1	0.456813971
100058	461.6624224	586.215795	755.6763002	0	0.078643944
100059	8830717426	277.8152319	602.060826	1	0.996523807
100060	0.00204717	465.0026577	487.211565	1	0.249985817
100061	0.003336156	628.7978489	487.8489814	1	0.02246892
100062	5727427057	422.5784307	310.3966138	0	0.505186532
100063	2.70E-06	813.1699203	557.6513963	1	0.789943031
100064	27.20549798	432.1619157	559.8543171	0	0.154064582
100065	0.095841	390.5726268	703.8007838	1	0.71171511
100066	36578204168	486.6158755	267.6945344	1	0.222852552
100067	6863.664956	602.375099	720.1705637	1	0.120786769
100068	0.07266452	548.178983	314.9151748	0	0.841655499
100069	1.26E-05	597.9646973	627.4609614	1	0.726707668
100070	1.12E+17	614.0022334	449.3314394	1	0.843233324
100071	4.302666589	379.1105176	599.744086	0	0.727436406
100072	0.755482909	912.81965	596.9249196	1	0.805075054
100073	137597.8654	698.280495	542.8944178	0	0.529317109
100074	6353901.128	633.6619373	643.5785089	1	0.307673124
100075	0.000460848	670.7760797	101.1093193	1	0.797110475
100076	0.891662139	716.2067206	487.1394527	0	0.694071029
100077	2.79E-06	681.948841	578.6453351	0	0.565782403
100078	0.001555653	565.5966087	723.4613871	0	0.147240033
100079	43532298130	568.9063781	251.5539098	0	0.615911155
100080	7513413915	546.4050857	482.2152109	1	0.152126398
100081	126950.3408	332.3888326	208.6402877	0	0.680810038
100082	0.000266536	412.1994052	271.2743451	1	0.383789561
100083	639.0030248	886.4729114	134.6452552	1	0.147581682
100084	0.000431582	447.8521277	287.4196134	0	0.12074521
