index,error,correct form,edit distance
5407,nite,night,3
56,dutsh,dutch,1
431,admitt,admit,1
149,milano,milan,1
4585,its',it's,2
3882,hallidays,holiday,3
1300,bread winner,bread-winner,1
5185,monitering,monitoring,1
7647,streches,stretches,1
6626,recource,resources,2
7000,scearsly,scarcely,3
1291,brakke,brake,1
1691,class mate,classmates,2
5907,permisable,permissible,2
751,apriciate,appreciate,2
548,allready,already,1
8321,transision,transition,1
8303,traffick,traffic,1
6386,psycial,psychical,2
2890,embrasse,embarrass,3
4465,insum,insurmountable,9
281,abo,absorbed,5
7005,scenary,scenery,1
5331,necesserily,necessarily,1
22,buckhingham,buckingham,1
1747,cocroches,cockroaches,2
6930,sacrement,sacrament,1
1122,beifited,benefitted,3
7497,speakless,speechless,3
1620,childs,children,3
8369,trye,try,1
564,althrough,although,1
2278,defenition,definition,1
4790,life times,lifetimes,1
7740,suddently,suddenly,1
3980,headeke,headache,3
6042,pleasent,pleasant,1
2711,down stair,downstairs,2
463,afarid,afraid,2
1713,climat,climate,1
5838,payd,paid,1
283,abolishion,abolition,2
4592,jamed,jammed,1
3727,glasess,glasses,2
82,gartha,carta,2
7573,stasion,station,1
4030,hering,hearing,1
5366,nessassary,necessary,3
7119,self respect,self-respect,1
1161,besids,besides,1
3445,firend,friend,2
1852,complementar,complimentary,2
2256,decidet,decided,1
8227,to receive,receiving,6
2946,engeneering,engineering,1
9004,writting,writing to,4
6535,rayin,reign,3
627,angerly,angrily,2
521,aislated,isolated,2
5604,opertor,operator,1
1936,conmotion,commotion,1
275,abel,able,2
5686,others member,other members,2
4226,immediatly,immediately,1
3884,hammerskjold,hammarskjold,1
765,aquainted,acquainted,1
5279,my self,myself,1
3596,frinds,friends,1
3467,flag raising,flag-raising,1
8853,what ever,whatever,1
1638,choped,chopped,1
605,an half hour,half an hour,6
1145,benefites,benefits,1
7988,ten speed,ten-speed,1
4972,manifactured,manufactured,1
7543,spreat,spread,1
8848,whalefishing,whale fishing,1
582,ames,aims,2
2899,emminent,imminent,1
1047,beated,beats,2
3179,exibition,exhibition,1
3718,girls's,girls',1
8350,troble,trouble,1
2902,emotinally,emotionally,1
2047,conviently,conveniently,2
4390,informatic,information,2
3958,have taken,took,9
3527,forien,foreign,2
1036,be come,become,1
4307,inconvenite,inconvenient,3
8488,unfortunaly,unfortunately,2
7958,tecnology,technology,1
1841,competely,completely,1
8952,woht,what,2
6314,proffit,profit,1
7783,suporse,suppose,2
6507,radio-cassett,radio-cassette,1
4393,infroductio,introduction,2
7738,suddendly,suddenly,1
8212,to help,in helping,5
8595,usaly,usually,2
6514,raido-cassette,radi-cassette,2
7899,table cloth,tablecloth,1
4244,implyed,implied,1
338,accordind,according,1
5439,norish,nourish,1
6804,respectless,without respect,12
985,bak,back,1
6730,rendevous,rendezvous,1
4971,mangment,management,2
1074,becouse,because,1
6382,prush,brush,1
4698,lafe,laugh,3
3945,hasn't signed,didn't sign,5
4825,litriture,literature,2
7572,startin,starting,1
2065,cordonnin,cordoning,2
4614,jopping,shopping,2
1210,bith,birth,1
8177,time table,timetable,1
21,brittish,british,1
1619,childrens,children's,1
8169,tieing,tying,2
7855,swidish,swedish,1
7487,space suit,space-suit,1
6761,represntative,representatives,2
5339,negativ,negative,1
3657,gan,gun,1
1951,consderin,considering,2
4308,inconvi,inconvenient,5
5607,opinnions,opinions,1
7126,selle,sell,1
5492,obied,obeyed,2
5947,pertaning,pertaining,1
4067,hiting,hitting,1
8164,tibets,titbits,2
2496,differn,different,2
1767,collegues,colleagues,1
853,assigmment,assignments,2
6372,prouve,prove,1
5223,moter,motor,1
4481,intercource,intercourse,1
